--------------------------------------------------
port_num : 8888
world_size : 4
data_dir : /mnt/ssd1/ImageNet
batch_size : 128
num_workers : 8
num_classes : 1000
start_epoch : 0
epochs : 120
warmup_epochs : 5
min_lr : 1e-08
lr : 0.05
momentum : 0.9
weight_decay : 0.0001
loss_type : CE
resume : 
save : True
save_name : ResNet50_128_120_CE
save_freq : 1
print_freq : 500
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,10.5940,0.00999900,5.97001953,00:33:13,4.82464837,00:00:42,
001,24.0100,0.01999900,4.27508764,00:32:41,3.73439151,00:00:42,
002,35.4940,0.02999900,3.45108870,00:32:56,2.92931423,00:00:41,
003,41.2940,0.03999900,3.03718076,00:32:47,2.62275098,00:00:41,
004,42.2580,0.04999900,2.83531944,00:33:06,2.56023942,00:00:42,
005,46.1060,0.04999067,2.69163774,00:32:54,2.36142671,00:00:42,
006,47.0500,0.04996270,2.57064599,00:33:04,2.32744720,00:00:41,
007,48.6200,0.04991610,2.49046312,00:32:53,2.22115283,00:00:42,
008,49.3460,0.04985090,2.43263825,00:33:00,2.20082376,00:00:42,
009,48.6060,0.04976716,2.38466016,00:33:12,2.22903356,00:00:41,
010,51.4060,0.04966493,2.34877368,00:33:10,2.08571580,00:00:41,
011,50.8280,0.04954431,2.31730480,00:33:13,2.11688013,00:00:42,
012,53.2140,0.04940536,2.29236299,00:33:18,1.99733732,00:00:42,
013,52.0360,0.04924820,2.27140484,00:33:20,2.06258697,00:00:42,
014,52.4600,0.04907295,2.25081061,00:33:14,2.02092124,00:00:42,
015,54.6260,0.04887973,2.23385591,00:33:10,1.91999434,00:00:43,
016,52.9820,0.04866870,2.21907459,00:33:18,2.01039537,00:00:43,
017,54.1720,0.04844000,2.20457774,00:33:18,1.96130909,00:00:43,
018,54.6040,0.04819381,2.19295756,00:33:15,1.92713533,00:00:43,
019,55.0880,0.04793031,2.18321770,00:33:18,1.89998545,00:00:43,
020,54.2800,0.04764970,2.17032002,00:33:18,1.93699810,00:00:43,
021,53.8660,0.04735219,2.15905745,00:33:15,1.96905740,00:00:43,
022,55.4520,0.04703800,2.15030416,00:33:18,1.87020761,00:00:43,
023,56.0340,0.04670736,2.14089081,00:33:18,1.85442307,00:00:43,
024,54.7400,0.04636052,2.13003199,00:33:18,1.90663987,00:00:44,
025,55.8640,0.04599774,2.12417765,00:33:21,1.86886323,00:00:43,
026,55.6260,0.04561930,2.11571885,00:33:18,1.86337972,00:00:43,
027,51.6240,0.04522547,2.10598072,00:33:18,2.08440299,00:00:43,
028,57.1620,0.04481654,2.10013950,00:33:18,1.80330277,00:00:43,
029,57.4920,0.04439283,2.09289918,00:33:19,1.77758472,00:00:43,
030,54.9860,0.04395464,2.08502271,00:33:13,1.89788340,00:00:43,
031,57.0800,0.04350231,2.07416082,00:33:15,1.80277899,00:00:44,
032,57.5560,0.04303617,2.06705265,00:33:15,1.78426976,00:00:43,
033,58.0580,0.04255658,2.05822757,00:33:16,1.75771677,00:00:43,
034,57.3720,0.04206388,2.05201274,00:33:20,1.77436445,00:00:43,
035,56.0020,0.04155845,2.04371443,00:33:18,1.85608246,00:00:43,
036,58.3920,0.04104066,2.03692661,00:33:18,1.74777317,00:00:43,
037,58.6680,0.04051090,2.02713221,00:33:19,1.72300048,00:00:43,
038,57.8340,0.03996957,2.02123346,00:33:21,1.76802416,00:00:43,
039,57.5180,0.03941707,2.01203293,00:33:20,1.77522791,00:00:43,
040,58.9780,0.03885380,2.00490501,00:33:15,1.71069079,00:00:43,
041,59.3680,0.03828020,1.99599040,00:33:22,1.69465286,00:00:43,
042,58.1300,0.03769669,1.98510551,00:33:14,1.75505121,00:00:44,
043,59.0680,0.03710371,1.97861824,00:33:19,1.70154648,00:00:53,
044,59.4420,0.03650169,1.96869066,00:33:17,1.67521045,00:00:43,
045,59.7180,0.03589109,1.95969357,00:33:18,1.67518020,00:00:43,
046,58.0900,0.03527236,1.94859915,00:33:23,1.76198727,00:00:43,
047,59.5080,0.03464597,1.94190909,00:33:13,1.68625108,00:00:43,
048,60.2680,0.03401238,1.93291752,00:33:15,1.65121650,00:00:43,
049,60.7020,0.03337206,1.92363176,00:33:14,1.62938306,00:00:43,
050,60.8340,0.03272549,1.91226023,00:33:19,1.63197529,00:00:43,
051,60.1560,0.03207316,1.90270013,00:33:18,1.65165057,00:00:43,
052,61.3260,0.03141556,1.89270593,00:33:22,1.60602245,00:00:43,
053,61.3140,0.03075316,1.88119907,00:33:11,1.59770441,00:00:43,
054,60.8380,0.03008647,1.87297918,00:33:17,1.62526200,00:00:43,
055,62.1600,0.02941599,1.86241406,00:33:17,1.56612065,00:00:43,
056,61.1660,0.02874221,1.84771453,00:33:19,1.60284841,00:00:43,
057,60.7100,0.02806563,1.83815903,00:33:15,1.62646531,00:00:43,
058,62.7280,0.02738677,1.82934044,00:33:13,1.53347063,00:00:43,
059,61.8740,0.02670613,1.81631480,00:33:12,1.57315924,00:00:44,
060,63.0700,0.02602422,1.80698109,00:33:13,1.53180714,00:00:43,
061,61.4200,0.02534154,1.79445341,00:33:17,1.60199110,00:00:43,
062,63.0960,0.02465861,1.78214282,00:33:15,1.51495500,00:00:44,
063,63.0920,0.02397593,1.76871913,00:33:17,1.51674701,00:00:43,
064,63.2280,0.02329401,1.75446364,00:33:16,1.50457828,00:00:43,
065,63.7220,0.02261337,1.74300902,00:33:18,1.49319415,00:00:43,
066,64.0640,0.02193451,1.73225531,00:33:14,1.47272124,00:00:43,
067,64.2280,0.02125794,1.71420234,00:33:20,1.46145353,00:00:43,
068,64.5400,0.02058416,1.70330295,00:33:14,1.45787029,00:00:43,
069,64.5840,0.01991367,1.68964066,00:33:16,1.44784843,00:00:43,
070,65.5620,0.01924698,1.67730367,00:33:15,1.40341376,00:00:43,
071,64.9560,0.01858459,1.66434327,00:33:19,1.43679374,00:00:43,
072,65.4860,0.01792698,1.64590828,00:33:18,1.40949486,00:00:43,
073,66.1060,0.01727465,1.63366560,00:33:21,1.38978219,00:00:43,
074,66.0880,0.01662808,1.61876883,00:33:15,1.38950836,00:00:43,
075,66.2160,0.01598776,1.60417148,00:33:16,1.37447729,00:00:43,
076,66.2720,0.01535417,1.58804893,00:33:14,1.37512245,00:00:43,
077,66.1440,0.01472777,1.57175304,00:33:18,1.36815447,00:00:43,
078,67.1580,0.01410904,1.55584157,00:33:16,1.33174277,00:00:43,
079,67.6260,0.01349844,1.53900049,00:33:19,1.31454277,00:00:43,
080,67.2200,0.01289642,1.52179071,00:33:14,1.32872568,00:00:43,
081,67.6780,0.01230344,1.50745452,00:33:18,1.31248026,00:00:44,
082,68.6040,0.01171992,1.48954657,00:33:14,1.27390309,00:00:43,
083,68.5640,0.01114632,1.46949108,00:33:20,1.27624731,00:00:43,
084,68.8660,0.01058306,1.45278047,00:33:21,1.25879554,00:00:43,
085,68.6440,0.01003055,1.43434756,00:33:24,1.25719365,00:00:43,
086,69.5900,0.00948921,1.41276493,00:33:17,1.23362398,00:00:43,
087,69.7040,0.00895945,1.39542277,00:33:25,1.22512734,00:00:43,
088,70.1180,0.00844166,1.37321613,00:33:24,1.20870759,00:00:43,
089,70.3660,0.00793623,1.35524465,00:33:23,1.19207421,00:00:43,
090,70.6240,0.00744353,1.33731504,00:33:15,1.18424320,00:00:44,
091,70.9040,0.00696393,1.31442809,00:33:16,1.17326617,00:00:42,
092,71.0880,0.00649779,1.29416059,00:33:19,1.16414528,00:00:54,
093,71.8720,0.00604546,1.27397441,00:33:18,1.13463714,00:00:43,
094,71.8920,0.00560727,1.25132633,00:33:24,1.13315156,00:00:43,
095,71.7700,0.00518355,1.22933843,00:33:21,1.13582162,00:00:43,
096,72.2260,0.00477462,1.20742839,00:33:16,1.11631494,00:00:43,
097,72.7700,0.00438079,1.18034606,00:33:21,1.09684116,00:00:44,
098,72.4340,0.00400234,1.15790668,00:33:16,1.10474804,00:00:43,
099,73.3260,0.00363956,1.13388881,00:33:18,1.07840618,00:00:43,
100,73.3260,0.00329272,1.10960958,00:33:14,1.07257231,00:00:43,
101,73.7660,0.00296208,1.08417040,00:33:19,1.05334688,00:00:43,
102,74.1960,0.00264788,1.05608155,00:33:23,1.04273802,00:00:43,
103,74.2960,0.00235037,1.03380543,00:33:19,1.03060251,00:00:43,
104,74.5360,0.00206975,1.00869075,00:33:23,1.02224450,00:00:43,
105,74.6400,0.00180625,0.98264052,00:33:16,1.01236518,00:00:43,
106,74.8260,0.00156006,0.95744962,00:33:18,0.99994802,00:00:43,
107,75.2680,0.00133136,0.93059941,00:33:18,0.98922631,00:00:43,
108,75.4860,0.00112032,0.90636305,00:33:18,0.98105988,00:00:43,
109,75.7100,0.00092710,0.88519002,00:33:15,0.97123800,00:00:43,
110,75.8460,0.00075184,0.86421774,00:33:17,0.96497594,00:00:43,
111,76.1000,0.00059468,0.84284449,00:33:14,0.95720738,00:00:43,
112,76.2380,0.00045573,0.82402179,00:33:19,0.95033947,00:00:43,
113,76.3580,0.00033510,0.80706096,00:33:17,0.95010105,00:00:43,
114,76.4620,0.00023287,0.79468956,00:33:18,0.94225981,00:00:43,
115,76.6760,0.00014913,0.78471304,00:33:19,0.93869782,00:00:43,
116,76.7020,0.00008393,0.77236652,00:33:19,0.93803049,00:00:43,
117,76.6880,0.00003732,0.76796450,00:33:19,0.93690575,00:00:43,
118,76.8040,0.00000934,0.76245236,00:33:18,0.93534988,00:00:43,
119,76.7960,0.00000001,0.76275206,00:33:18,0.93551866,00:00:43,
