--------------------------------------------------
port_num : 8889
world_size : 4
data_dir : /mnt/ssd1/ImageNet
batch_size : 256
num_workers : 8
num_classes : 1000
start_epoch : 0
epochs : 120
warmup_epochs : 5
min_lr : 1e-08
lr : 0.1
momentum : 0.9
weight_decay : 0.0001
loss_type : BCE
resume : 
save : True
save_name : ResNet50_256_120_BCE
save_freq : 1
print_freq : 500
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

--------------------------------------------------
port_num : 8889
world_size : 4
data_dir : /mnt/ssd1/ImageNet
batch_size : 256
num_workers : 8
num_classes : 1000
start_epoch : 0
epochs : 120
warmup_epochs : 5
min_lr : 1e-08
lr : 0.1
momentum : 0.9
weight_decay : 0.0001
loss_type : BCE
resume : 
save : True
save_name : ResNet50_256_120_BCE
save_freq : 1
print_freq : 500
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,9.2620,0.01999600,9.15801692,00:29:50,6.20531776,00:00:48,
001,20.6260,0.03999600,5.28114427,00:29:52,5.11219712,00:00:42,
002,33.5420,0.05999600,4.43434438,00:29:51,4.08997670,00:00:42,
003,37.8780,0.07999600,4.02287552,00:29:52,3.80108273,00:00:41,
004,40.9480,0.09999600,3.81812150,00:29:51,3.63009025,00:00:41,
005,41.1300,0.09998135,3.65749622,00:29:59,3.60258030,00:00:41,
006,47.3620,0.09992541,3.51491874,00:29:53,3.21260569,00:00:41,
007,47.9180,0.09983220,3.41609496,00:29:55,3.18795763,00:00:42,
008,46.5420,0.09970181,3.34383831,00:29:52,3.26645740,00:00:41,
009,47.1680,0.09953433,3.28329414,00:29:56,3.25888600,00:00:41,
010,49.8380,0.09932989,3.23775679,00:29:50,3.05237979,00:00:42,
011,50.5100,0.09908864,3.19797987,00:29:55,3.04971525,00:00:41,
012,51.4900,0.09881075,3.16393627,00:29:58,2.97775854,00:00:43,
013,51.7320,0.09849644,3.13668636,00:30:03,2.94816059,00:00:43,
014,51.7460,0.09814594,3.11163130,00:29:52,2.96661712,00:00:41,
015,51.5800,0.09775951,3.09150664,00:29:47,2.95537014,00:00:42,
016,53.0100,0.09733744,3.06898168,00:29:45,2.87556928,00:00:41,
017,49.5580,0.09688005,3.05151780,00:29:46,3.10132419,00:00:41,
018,54.1320,0.09638767,3.03768139,00:29:51,2.80632622,00:00:42,
019,54.6460,0.09586067,3.01859844,00:29:52,2.76674018,00:00:42,
020,53.2860,0.09529946,3.00730441,00:29:53,2.85660708,00:00:42,
021,55.1020,0.09470444,2.99394270,00:29:48,2.75475319,00:00:42,
022,53.8820,0.09407606,2.98086057,00:30:02,2.81088369,00:00:42,
023,53.3440,0.09341478,2.97185854,00:30:07,2.85707616,00:00:43,
024,53.3040,0.09272111,2.95823810,00:30:08,2.87074008,00:00:43,
025,55.3660,0.09199556,2.94536154,00:30:07,2.71755396,00:00:43,
026,55.3320,0.09123867,2.93445167,00:30:11,2.73147302,00:00:42,
027,54.4800,0.09045101,2.92514438,00:30:11,2.77728461,00:00:42,
028,52.9480,0.08963316,2.91522313,00:30:04,2.89953181,00:00:43,
029,55.1440,0.08878574,2.90384733,00:29:56,2.73206917,00:00:41,
030,55.3080,0.08790937,2.89288825,00:30:00,2.74886949,00:00:42,
031,56.1460,0.08700471,2.88467026,00:30:03,2.67603099,00:00:41,
032,56.4300,0.08607244,2.87176594,00:30:04,2.65554798,00:00:41,
033,55.4780,0.08511325,2.86153122,00:30:04,2.71241444,00:00:42,
034,56.4740,0.08412786,2.85491816,00:30:03,2.66442052,00:00:42,
035,56.4420,0.08311700,2.84134712,00:29:53,2.64992867,00:00:42,
036,53.3200,0.08208142,2.83009764,00:30:04,2.84854263,00:00:42,
037,57.0360,0.08102191,2.81980360,00:30:07,2.61755033,00:00:42,
038,56.7600,0.07993925,2.81120694,00:29:51,2.63546363,00:00:41,
039,58.0900,0.07883424,2.79938835,00:29:49,2.57226821,00:00:41,
040,57.2820,0.07770772,2.78924451,00:29:49,2.59715202,00:00:41,
041,55.5720,0.07656052,2.77778968,00:29:46,2.72240074,00:00:42,
042,58.6260,0.07539350,2.76675840,00:29:45,2.52598782,00:00:42,
043,58.3140,0.07420753,2.75517689,00:29:51,2.53636076,00:00:42,
044,59.6940,0.07300350,2.74563173,00:29:38,2.45990749,00:00:53,
045,58.4520,0.07178230,2.73115821,00:29:25,2.54413425,00:00:52,
046,59.5380,0.07054484,2.72041624,00:29:27,2.46918323,00:00:48,
047,58.5340,0.06929206,2.71022314,00:29:27,2.54078833,00:00:47,
048,58.8460,0.06802487,2.69716933,00:29:37,2.51325122,00:00:42,
049,60.0480,0.06674424,2.68433445,00:29:41,2.44424647,00:00:42,
050,59.4720,0.06545111,2.67337523,00:29:36,2.45759119,00:00:42,
051,60.4440,0.06414645,2.66081387,00:29:41,2.40208649,00:00:42,
052,60.5500,0.06283124,2.64735715,00:29:39,2.40855882,00:00:42,
053,60.7060,0.06150645,2.63298018,00:29:52,2.39149432,00:00:42,
054,60.2560,0.06017307,2.61959308,00:29:40,2.42153761,00:00:41,
055,59.8880,0.05883210,2.60901595,00:29:56,2.42641762,00:00:41,
056,61.2040,0.05748454,2.59455113,00:29:44,2.35329925,00:00:41,
057,61.0460,0.05613140,2.57921357,00:29:50,2.37113439,00:00:42,
058,60.2960,0.05477368,2.56258231,00:29:53,2.41744108,00:00:42,
059,62.1620,0.05341240,2.55128922,00:29:42,2.31631793,00:00:42,
