--------------------------------------------------
port_num : 8888
world_size : 4
data_dir : /mnt/ssd1/ImageNet
batch_size : 256
num_workers : 8
num_classes : 1000
start_epoch : 0
epochs : 120
warmup_epochs : 5
min_lr : 1e-08
lr : 0.1
momentum : 0.9
weight_decay : 0.0001
loss_type : CE
resume : 
save : True
save_name : ResNet50_256_120_CE
save_freq : 1
print_freq : 500
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

--------------------------------------------------
port_num : 8888
world_size : 4
data_dir : /mnt/ssd1/ImageNet
batch_size : 256
num_workers : 8
num_classes : 1000
start_epoch : 0
epochs : 120
warmup_epochs : 5
min_lr : 1e-08
lr : 0.1
momentum : 0.9
weight_decay : 0.0001
loss_type : CE
resume : 
save : True
save_name : ResNet50_256_120_CE
save_freq : 1
print_freq : 500
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,10.0440,0.01999600,5.96032470,00:29:38,4.93212907,00:00:46,
001,23.5560,0.03999600,4.25775310,00:29:15,3.71150350,00:00:41,
002,33.5060,0.05999600,3.42918556,00:29:15,3.05516215,00:00:42,
003,36.9820,0.07999600,3.02552728,00:29:11,2.87976514,00:00:42,
004,37.3260,0.09999600,2.82518880,00:29:17,2.87946065,00:00:42,
005,43.9380,0.09998135,2.67828544,00:29:12,2.49597125,00:00:42,
006,44.5200,0.09992541,2.56052361,00:29:14,2.44729316,00:00:43,
007,47.2580,0.09983220,2.47800891,00:29:15,2.30850358,00:00:42,
008,47.8660,0.09970181,2.41828822,00:29:14,2.26493548,00:00:42,
009,49.8020,0.09953433,2.36825238,00:29:09,2.17143349,00:00:41,
010,49.4180,0.09932989,2.33129914,00:29:17,2.19687371,00:00:42,
011,50.9980,0.09908864,2.29993157,00:29:13,2.11059434,00:00:42,
012,49.1920,0.09881075,2.27288820,00:29:15,2.20783495,00:00:42,
013,50.3080,0.09849644,2.25241624,00:29:16,2.15453101,00:00:44,
014,51.1600,0.09814594,2.23504009,00:29:16,2.10381347,00:00:42,
015,52.3940,0.09775951,2.21736117,00:29:13,2.02989902,00:00:42,
016,51.4820,0.09733744,2.20403529,00:29:19,2.09270141,00:00:42,
017,50.1500,0.09688005,2.19071238,00:29:23,2.16898066,00:00:42,
018,51.6040,0.09638767,2.17718179,00:29:15,2.07751155,00:00:42,
019,53.8100,0.09586067,2.16420988,00:29:18,1.95517157,00:00:42,
020,50.4060,0.09529946,2.15474263,00:29:14,2.14360410,00:00:46,
021,55.2540,0.09470444,2.14384243,00:29:17,1.89431646,00:00:41,
022,53.6980,0.09407606,2.13359005,00:29:14,1.96194142,00:00:42,
023,53.5280,0.09341478,2.12481034,00:29:11,1.98559271,00:00:42,
