--------------------------------------------------
port_num : 8888
world_size : 2
data_dir : /mnt/ssd1/ImageNet
batch_size : 128
num_workers : 8
start_epoch : 0
epochs : 120
warmup_epochs : 5
min_lr : 1e-08
lr : 0.05
momentum : 0.9
weight_decay : 0.0001
resume : 
save : True
save_name : ResNet50_128_DDP_half
save_freq : 200
print_freq : 100
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,10.3620,0.00999900,5.98524115,00:29:09,4.86670462,00:00:36,
001,25.1940,0.01999900,4.30868994,00:29:24,3.65720853,00:00:43,
002,35.2680,0.02999900,3.49134090,00:29:25,2.98815572,00:00:42,
003,40.1160,0.03999900,3.08083831,00:29:32,2.70780990,00:00:44,
004,43.4120,0.04999900,2.87767861,00:29:28,2.51011360,00:00:48,
005,44.5040,0.04999067,2.73053274,00:29:30,2.44380583,00:00:42,
006,48.9760,0.04996270,2.60962804,00:30:02,2.20083945,00:00:45,
007,47.7580,0.04991610,2.52650008,00:29:40,2.26927767,00:00:43,
008,49.3220,0.04985090,2.46787048,00:29:38,2.18803290,00:00:42,
009,50.6360,0.04976716,2.41750489,00:29:44,2.13568848,00:00:43,
010,51.6460,0.04966493,2.37875913,00:29:48,2.07857816,00:00:45,
011,52.1960,0.04954431,2.34792674,00:29:45,2.04325981,00:00:44,
012,50.5740,0.04940536,2.32257379,00:29:39,2.13267274,00:00:44,
013,52.7240,0.04924820,2.29894785,00:29:37,2.03226560,00:00:44,
014,53.9940,0.04907295,2.27914316,00:29:36,1.97925976,00:00:44,
015,54.1280,0.04887973,2.26031008,00:29:32,1.95361944,00:00:44,
016,53.2340,0.04866870,2.24793046,00:29:33,2.00043476,00:00:45,
017,53.2540,0.04844000,2.23391577,00:29:34,1.99722000,00:00:43,
018,54.2560,0.04819381,2.22360844,00:29:32,1.97538160,00:00:44,
019,54.7460,0.04793031,2.21021243,00:29:35,1.92336094,00:00:44,
020,55.4320,0.04764970,2.20170685,00:29:30,1.88180262,00:00:39,
021,54.6460,0.04735219,2.19061316,00:29:25,1.93912311,00:00:41,
022,55.9760,0.04703800,2.17925462,00:29:25,1.85246645,00:00:44,
023,55.4260,0.04670736,2.17229119,00:29:28,1.88783944,00:00:40,
024,56.1200,0.04636052,2.16077581,00:29:28,1.85016123,00:00:39,
025,53.2760,0.04599774,2.15256616,00:29:29,2.02311832,00:00:39,
026,55.1880,0.04561930,2.14499824,00:29:29,1.87831137,00:00:39,
027,55.9200,0.04522547,2.13562268,00:29:31,1.86939502,00:00:40,
028,56.1820,0.04481654,2.12729621,00:29:27,1.85111857,00:00:40,
029,56.7600,0.04439283,2.12033808,00:29:29,1.81776891,00:00:40,
030,56.8520,0.04395464,2.10945812,00:29:28,1.82814442,00:00:40,
031,56.7280,0.04350231,2.10347810,00:29:30,1.82383515,00:00:40,
032,57.1840,0.04303617,2.09329478,00:29:28,1.81794682,00:00:39,
033,57.0560,0.04255658,2.08764386,00:29:30,1.80761373,00:00:40,
034,55.2220,0.04206388,2.08044477,00:29:28,1.89441022,00:00:40,
035,57.6560,0.04155845,2.07211922,00:29:26,1.80150117,00:00:41,
036,57.8120,0.04104066,2.06344391,00:29:25,1.77653204,00:00:39,
037,55.5920,0.04051090,2.05663830,00:29:26,1.90281938,00:00:40,
038,58.6900,0.03996957,2.04844452,00:29:29,1.74640055,00:00:41,
039,58.3360,0.03941707,2.03940288,00:29:29,1.74989508,00:00:39,
040,56.8480,0.03885380,2.03114428,00:29:25,1.82133211,00:00:39,
041,58.4320,0.03828020,2.02209938,00:29:30,1.74060183,00:00:40,
042,57.1940,0.03769669,2.01434342,00:29:27,1.81022015,00:00:40,
043,58.8500,0.03710371,2.00669944,00:29:27,1.72025123,00:00:40,
044,57.7480,0.03650169,1.99674520,00:29:28,1.76797776,00:00:43,
045,59.7460,0.03589109,1.98948641,00:29:31,1.67948690,00:00:40,
046,59.0140,0.03527236,1.97844993,00:29:28,1.71663901,00:00:40,
047,59.7000,0.03464597,1.97017991,00:29:29,1.68992584,00:00:39,
048,59.5000,0.03401238,1.95892025,00:29:29,1.70193944,00:00:39,
049,60.5660,0.03337206,1.95287050,00:29:30,1.63858919,00:00:39,
050,59.5620,0.03272549,1.94019054,00:29:28,1.69928206,00:00:40,
051,60.1460,0.03207316,1.93066565,00:29:29,1.66686277,00:00:40,
052,59.9280,0.03141556,1.92295481,00:29:25,1.68063513,00:00:40,
053,60.9540,0.03075316,1.91083065,00:29:29,1.61288623,00:00:41,
054,60.8700,0.03008647,1.89904470,00:29:26,1.61549336,00:00:40,
055,61.4680,0.02941599,1.88988854,00:29:28,1.59950227,00:00:40,
056,60.5180,0.02874221,1.87804385,00:29:28,1.65625197,00:00:40,
057,61.9100,0.02806563,1.86695807,00:29:23,1.57617342,00:00:40,
058,62.3520,0.02738677,1.85406051,00:29:21,1.55850190,00:00:40,
059,62.8880,0.02670613,1.84604740,00:29:24,1.53347320,00:00:41,
060,62.2540,0.02602422,1.83367865,00:29:25,1.56844923,00:00:41,
061,63.0600,0.02534154,1.82100778,00:29:33,1.52289216,00:00:42,
062,63.9060,0.02465861,1.80928081,00:29:29,1.49496279,00:00:41,
063,62.1200,0.02397593,1.79960202,00:29:32,1.56902903,00:00:41,
064,63.7300,0.02329401,1.78408959,00:29:35,1.50570843,00:00:41,
065,63.7140,0.02261337,1.77152579,00:29:34,1.50340219,00:00:41,
066,63.6060,0.02193451,1.75873881,00:29:38,1.50774641,00:00:44,
067,64.7860,0.02125794,1.74685954,00:29:38,1.45303566,00:00:41,
068,64.1580,0.02058416,1.73514099,00:29:42,1.48058108,00:00:41,
069,64.9380,0.01991367,1.71922058,00:29:40,1.44590883,00:00:41,
070,65.1220,0.01924698,1.70317634,00:29:37,1.44425744,00:00:41,
071,64.9040,0.01858459,1.69000030,00:29:37,1.45128880,00:00:42,
072,65.2180,0.01792698,1.67651247,00:29:34,1.41458333,00:00:40,
073,65.7900,0.01727465,1.66062573,00:29:31,1.41179974,00:00:41,
074,64.9360,0.01662808,1.64551382,00:29:22,1.44383352,00:00:41,
075,66.1560,0.01598776,1.63267648,00:29:28,1.39080065,00:00:41,
076,65.9200,0.01535417,1.61501836,00:29:30,1.40186863,00:00:40,
077,66.5680,0.01472777,1.60028918,00:29:35,1.38321829,00:00:41,
078,65.4520,0.01410904,1.58425687,00:29:31,1.42348921,00:00:40,
079,67.4500,0.01349844,1.56728464,00:29:25,1.33601804,00:00:40,
080,67.7300,0.01289642,1.54973265,00:29:28,1.32531779,00:00:40,
081,67.9160,0.01230344,1.53293999,00:29:25,1.31072943,00:00:40,
082,67.5460,0.01171992,1.51774978,00:29:25,1.32940986,00:00:40,
083,68.3140,0.01114632,1.49807120,00:29:25,1.29576218,00:00:40,
084,68.4880,0.01058306,1.48081465,00:29:27,1.27707702,00:00:39,
085,69.2300,0.01003055,1.46137064,00:29:26,1.26057102,00:00:39,
086,69.3120,0.00948921,1.44160427,00:29:25,1.25015560,00:00:40,
087,69.6300,0.00895945,1.42034385,00:29:26,1.23954692,00:00:39,
088,69.6120,0.00844166,1.40211624,00:29:26,1.23304380,00:00:43,
089,69.8780,0.00793623,1.38405212,00:29:26,1.22921419,00:00:40,
090,70.3280,0.00744353,1.36156477,00:29:23,1.21052275,00:00:40,
091,70.9780,0.00696393,1.34139572,00:29:27,1.17815944,00:00:40,
092,70.9440,0.00649779,1.32033537,00:29:26,1.18827416,00:00:39,
093,70.9260,0.00604546,1.29797806,00:29:25,1.18365535,00:00:40,
094,71.4500,0.00560727,1.27830250,00:29:26,1.15882201,00:00:40,
095,71.9940,0.00518355,1.25237455,00:29:25,1.13639598,00:00:40,
096,72.1260,0.00477462,1.23315442,00:29:25,1.12934729,00:00:39,
097,72.2400,0.00438079,1.20799115,00:29:28,1.12978019,00:00:40,
098,72.4980,0.00400234,1.18262366,00:29:26,1.11241095,00:00:39,
099,72.8840,0.00363956,1.15709644,00:29:29,1.09454572,00:00:39,
100,73.4160,0.00329272,1.13310419,00:29:28,1.08296984,00:00:39,
101,73.5160,0.00296208,1.10824578,00:29:31,1.06795251,00:00:40,
