--------------------------------------------------
gpu : 3
data_dir : /mnt/ssd1/ImageNet
batch_size : 128
num_workers : 8
start_epoch : 0
epochs : 120
warmup_epochs : 5
min_lr : 1e-08
lr : 0.1
momentum : 0.9
weight_decay : 0.0001
resume : 
save : True
save_name : ResNet50_128_single
save_freq : 200
print_freq : 100
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,11.6640,0.01999800,5.71681944,00:50:07,4.67484437,00:01:01,
001,28.3820,0.03999800,3.99366256,00:50:06,3.39189980,00:01:00,
002,36.1760,0.05999800,3.29073749,00:50:08,2.88797221,00:01:01,
003,39.7080,0.07999800,3.02892105,00:50:12,2.70660251,00:01:07,
004,37.6040,0.09999800,2.94069786,00:50:19,2.84533990,00:01:02,
005,41.6220,0.09998135,2.85755803,00:50:37,2.60327039,00:01:01,
006,42.3560,0.09992540,2.76986013,00:50:38,2.57635398,00:01:00,
007,42.6060,0.09983219,2.71548994,00:50:21,2.54015745,00:00:57,
008,45.4360,0.09970180,2.67179353,00:50:11,2.39755513,00:00:58,
009,46.0220,0.09953432,2.63991097,00:50:14,2.36429417,00:00:59,
010,44.9640,0.09932987,2.61496053,00:50:14,2.42071798,00:00:59,
011,45.9700,0.09908861,2.59674235,00:50:07,2.35905868,00:00:54,
012,45.4380,0.09881072,2.57789442,00:49:50,2.40067843,00:00:57,
013,46.6320,0.09849641,2.56445769,00:49:52,2.34355377,00:00:55,
014,48.1980,0.09814590,2.55313856,00:49:53,2.25443991,00:00:53,
015,45.8420,0.09775947,2.53852725,00:49:53,2.36797209,00:00:52,
016,45.9500,0.09733740,2.52930524,00:49:53,2.38855599,00:00:52,
017,42.7640,0.09688000,2.52152760,00:49:52,2.58390003,00:00:51,
018,46.2860,0.09638762,2.51096859,00:49:55,2.33244123,00:00:56,
019,48.6980,0.09586062,2.50325328,00:49:54,2.22050872,00:00:54,
020,46.1420,0.09529940,2.49023331,00:49:54,2.38477732,00:00:51,
021,46.6580,0.09470438,2.48795653,00:49:54,2.35677546,00:00:52,
022,48.5180,0.09407599,2.48103137,00:49:53,2.22084907,00:00:52,
023,46.6860,0.09341472,2.47008989,00:49:53,2.35202844,00:00:53,
024,48.8680,0.09272104,2.46676675,00:49:56,2.22403192,00:00:52,
025,49.1460,0.09199549,2.45744522,00:49:52,2.18985116,00:00:52,
026,46.1060,0.09123860,2.44993054,00:49:52,2.36482717,00:00:53,
027,48.5460,0.09045093,2.44274660,00:49:52,2.24253813,00:00:52,
028,48.8280,0.08963308,2.43535647,00:49:51,2.21713901,00:00:52,
029,48.8040,0.08878565,2.42832448,00:49:51,2.21109899,00:00:52,
030,47.7640,0.08790928,2.42081144,00:49:49,2.29256387,00:00:53,
031,49.2600,0.08700462,2.41230437,00:49:48,2.19143647,00:00:53,
032,49.3120,0.08607235,2.40705028,00:49:48,2.17451730,00:00:53,
033,48.1320,0.08511315,2.39857811,00:49:42,2.28900247,00:00:53,
034,50.2080,0.08412776,2.38736073,00:49:42,2.17508243,00:00:53,
035,50.6040,0.08311690,2.38265174,00:49:51,2.14247873,00:00:53,
036,51.0640,0.08208132,2.37350168,00:50:02,2.09574602,00:00:51,
037,50.9660,0.08102180,2.36533544,00:50:02,2.10317797,00:00:56,
038,48.4760,0.07993914,2.35914792,00:50:08,2.23103328,00:00:53,
039,51.0200,0.07883413,2.34628407,00:50:14,2.10953745,00:00:53,
040,47.2600,0.07770760,2.33853281,00:50:17,2.31435989,00:00:53,
041,50.1820,0.07656040,2.33264404,00:50:11,2.13122974,00:00:54,
042,52.7500,0.07539338,2.32219761,00:50:06,2.02106231,00:00:52,
043,52.4520,0.07420741,2.31447542,00:49:50,2.03880322,00:00:53,
044,52.0600,0.07300338,2.30370042,00:49:59,2.05796516,00:00:52,
045,52.1160,0.07178217,2.29503334,00:50:06,2.04828416,00:00:52,
046,53.0800,0.07054472,2.28468367,00:49:49,2.00212598,00:00:52,
047,53.9620,0.06929193,2.27495092,00:49:53,1.96945424,00:00:53,
048,53.5020,0.06802475,2.26386590,00:49:52,1.97411964,00:00:52,
049,53.2840,0.06674411,2.25408698,00:49:51,1.99470393,00:00:53,
050,53.6020,0.06545098,2.24456087,00:49:49,1.97606461,00:00:53,
051,53.9500,0.06414632,2.23026878,00:49:51,1.92647231,00:00:52,
052,54.2260,0.06283111,2.22179661,00:49:53,1.92303258,00:00:53,
053,51.9400,0.06150632,2.21055744,00:49:47,2.04300957,00:00:52,
054,54.4800,0.06017294,2.19617892,00:49:48,1.92128147,00:00:52,
055,53.6100,0.05883197,2.18699776,00:49:48,1.96461928,00:00:52,
056,54.8260,0.05748441,2.17646174,00:49:50,1.92242885,00:00:52,
057,56.5460,0.05613126,2.16438845,00:49:47,1.83292528,00:00:54,
058,55.0800,0.05477354,2.15153162,00:49:52,1.90455346,00:00:52,
059,56.2280,0.05341226,2.13801814,00:49:52,1.84463159,00:00:53,
060,55.4080,0.05204843,2.12426174,00:49:54,1.88983868,00:00:52,
061,54.9980,0.05068308,2.11301295,00:49:52,1.89438847,00:00:52,
062,57.2960,0.04931721,2.10188226,00:49:56,1.77282230,00:00:53,
063,55.7340,0.04795185,2.08639812,00:49:50,1.86513138,00:00:53,
064,57.2580,0.04658802,2.07140475,00:49:51,1.78631928,00:00:52,
065,57.9140,0.04522674,2.05946132,00:49:50,1.75634500,00:00:52,
066,57.9660,0.04386902,2.04299631,00:49:51,1.75415702,00:00:52,
067,58.1900,0.04251587,2.02674098,00:49:52,1.76006508,00:00:53,
068,59.4680,0.04116831,2.01503314,00:49:51,1.67925793,00:00:53,
069,58.3820,0.03982734,2.00040172,00:49:51,1.73982337,00:00:52,
070,59.5520,0.03849396,1.98486900,00:49:53,1.68512100,00:00:49,
071,58.5260,0.03716917,1.96827537,00:49:50,1.74372868,00:00:48,
072,60.0800,0.03585395,1.95375416,00:49:59,1.64939467,00:00:49,
073,60.6140,0.03454929,1.93772244,00:49:50,1.63194515,00:00:49,
074,60.0640,0.03325615,1.92145867,00:49:48,1.65872091,00:00:48,
075,61.5900,0.03197552,1.90254679,00:49:48,1.58680800,00:00:49,
076,61.9260,0.03070833,1.88669694,00:49:49,1.57942327,00:00:48,
077,62.3280,0.02945554,1.86846755,00:49:48,1.54414696,00:00:48,
078,61.8680,0.02821808,1.85032956,00:49:49,1.56703504,00:00:49,
079,62.5880,0.02699688,1.83374374,00:49:49,1.53110173,00:00:49,
080,62.1500,0.02579284,1.81397341,00:49:48,1.55327325,00:00:49,
