--------------------------------------------------
gpu : 4
data_dir : /mnt/ssd1/ImageNet
batch_size : 128
num_workers : 8
start_epoch : 0
epochs : 120
warmup_epochs : 5
min_lr : 1e-08
lr : 0.05
momentum : 0.9
weight_decay : 0.0001
resume : 
save : True
save_name : ResNet50_128_single_half
save_freq : 200
print_freq : 100
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,10.7700,0.00999900,5.96174321,00:50:02,4.77313341,00:01:00,
001,24.8960,0.01999900,4.27375477,00:50:02,3.76985023,00:01:01,
002,34.3680,0.02999900,3.44369537,00:50:04,3.01081272,00:01:02,
003,39.4360,0.03999900,3.04530312,00:50:08,2.74220098,00:01:01,
004,41.4300,0.04999900,2.83900361,00:50:13,2.60610828,00:00:59,
005,44.8220,0.04999067,2.69566438,00:50:30,2.42709807,00:00:58,
006,47.2440,0.04996270,2.57690773,00:50:27,2.28108820,00:00:57,
007,48.5040,0.04991610,2.49492802,00:50:22,2.22970336,00:00:59,
008,50.2580,0.04985090,2.43090838,00:50:12,2.13180579,00:00:58,
009,51.5040,0.04976716,2.38654793,00:50:15,2.09118797,00:01:00,
010,52.0100,0.04966493,2.34574204,00:50:16,2.05911350,00:00:59,
011,52.2060,0.04954431,2.31657365,00:50:16,2.03022204,00:00:55,
012,50.6380,0.04940536,2.28984441,00:50:07,2.11687885,00:00:57,
013,48.6100,0.04924820,2.26980312,00:50:08,2.24568821,00:00:54,
014,52.0160,0.04907295,2.24795784,00:50:11,2.06555100,00:00:55,
015,54.3020,0.04887973,2.23324080,00:50:08,1.93959487,00:00:52,
016,55.1960,0.04866870,2.21490284,00:50:08,1.89704604,00:00:51,
017,53.6540,0.04844000,2.20423725,00:50:06,1.95688554,00:00:53,
018,55.6180,0.04819381,2.19139727,00:50:07,1.86797173,00:00:51,
019,55.9680,0.04793031,2.18009670,00:50:09,1.85474007,00:00:52,
020,54.9520,0.04764970,2.17001368,00:50:11,1.90605663,00:00:52,
021,55.2540,0.04735219,2.16126977,00:50:09,1.89931802,00:00:52,
022,55.7400,0.04703800,2.15037110,00:50:10,1.86107182,00:00:52,
023,56.3780,0.04670736,2.14062089,00:50:09,1.83936056,00:00:51,
024,54.2720,0.04636052,2.13224856,00:50:09,1.93363420,00:00:52,
025,55.2580,0.04599774,2.12402816,00:50:13,1.88208900,00:00:56,
026,57.1620,0.04561930,2.11676969,00:50:10,1.79172483,00:00:51,
027,55.6960,0.04522547,2.10661034,00:50:08,1.86509776,00:00:51,
028,55.1140,0.04481654,2.10151674,00:50:08,1.90313944,00:00:55,
029,55.9140,0.04439283,2.09299830,00:50:05,1.86608028,00:00:52,
030,56.8320,0.04395464,2.08302207,00:50:07,1.79642837,00:00:52,
031,56.3200,0.04350231,2.07518447,00:50:07,1.85546236,00:00:51,
032,56.2880,0.04303617,2.06838831,00:50:07,1.83836090,00:00:52,
033,57.9940,0.04255658,2.06251796,00:50:00,1.74817830,00:00:52,
034,57.0280,0.04206388,2.05093303,00:50:01,1.80117347,00:00:51,
035,58.0700,0.04155845,2.04752720,00:50:12,1.74936453,00:00:52,
036,58.1600,0.04104066,2.03671628,00:50:17,1.73149204,00:00:52,
037,57.3220,0.04051090,2.03220578,00:50:23,1.79952105,00:00:51,
038,56.8480,0.03996957,2.02280882,00:50:23,1.79600026,00:00:59,
039,58.4100,0.03941707,2.01203346,00:50:29,1.73324011,00:00:52,
040,58.3260,0.03885380,2.00655791,00:50:32,1.75074721,00:00:52,
041,58.7420,0.03828020,1.99845102,00:50:25,1.71896768,00:00:54,
042,58.7160,0.03769669,1.98768797,00:50:19,1.71703183,00:00:52,
043,59.1340,0.03710371,1.98079856,00:50:06,1.69438381,00:00:52,
044,58.7940,0.03650169,1.97384955,00:50:19,1.71209168,00:00:51,
045,59.7680,0.03589109,1.96468996,00:50:18,1.66496919,00:00:53,
046,59.4860,0.03527236,1.95543709,00:50:05,1.68064403,00:00:52,
047,60.1400,0.03464597,1.94656212,00:50:07,1.66891017,00:00:52,
048,60.2760,0.03401238,1.93833991,00:50:07,1.65420422,00:00:52,
049,60.5000,0.03337206,1.92764304,00:50:11,1.63736566,00:00:53,
050,61.2860,0.03272549,1.91823926,00:50:08,1.60206644,00:00:52,
051,60.8300,0.03207316,1.90608285,00:50:05,1.62441610,00:00:56,
052,60.5960,0.03141556,1.90017965,00:50:05,1.64013082,00:00:52,
053,61.2320,0.03075316,1.88948127,00:50:03,1.60277949,00:00:51,
054,61.6680,0.03008647,1.87982907,00:50:05,1.58823904,00:00:51,
055,61.2960,0.02941599,1.86728509,00:50:03,1.58300323,00:00:52,
056,61.7380,0.02874221,1.85836314,00:50:06,1.58125883,00:00:52,
057,62.7040,0.02806563,1.84656091,00:50:06,1.53093911,00:00:52,
058,62.5740,0.02738677,1.83593339,00:50:07,1.54468516,00:00:53,
059,61.4060,0.02670613,1.82565568,00:50:10,1.58851353,00:00:52,
060,61.8220,0.02602422,1.81357624,00:50:08,1.57000879,00:00:52,
061,62.5420,0.02534154,1.80258577,00:50:11,1.52331463,00:00:53,
062,63.5960,0.02465861,1.78859076,00:50:06,1.49424033,00:00:53,
063,63.0040,0.02397593,1.77651097,00:50:05,1.52406796,00:00:54,
064,63.5940,0.02329401,1.76349454,00:50:05,1.48553231,00:00:58,
065,63.2380,0.02261337,1.75331902,00:50:07,1.50186851,00:00:52,
066,63.0340,0.02193451,1.74129675,00:50:11,1.52110300,00:00:53,
067,64.3520,0.02125794,1.72838133,00:50:07,1.44759477,00:00:52,
068,65.0480,0.02058416,1.71591625,00:50:07,1.41979893,00:00:53,
069,64.9860,0.01991367,1.69962104,00:50:08,1.43060181,00:00:52,
070,65.4300,0.01924698,1.68848023,00:49:58,1.40430440,00:00:48,
071,65.0440,0.01858459,1.67313983,00:49:52,1.42976377,00:00:48,
072,65.0900,0.01792698,1.65866969,00:49:53,1.41875251,00:00:48,
073,65.6080,0.01727465,1.64536262,00:49:52,1.39160757,00:00:49,
074,66.2820,0.01662808,1.63091630,00:49:52,1.37436710,00:00:49,
075,66.6040,0.01598776,1.61643287,00:49:52,1.34808059,00:00:48,
076,65.5760,0.01535417,1.60060857,00:49:52,1.41299917,00:00:48,
077,66.6180,0.01472777,1.58082688,00:49:51,1.35529393,00:00:48,
078,66.9060,0.01410904,1.57035885,00:49:53,1.34240252,00:00:49,
079,67.6280,0.01349844,1.55355882,00:49:52,1.30554581,00:00:50,
080,67.4360,0.01289642,1.53767236,00:49:52,1.32435801,00:00:49,
081,68.4940,0.01230344,1.52041789,00:49:51,1.27439972,00:00:48,
082,67.7900,0.01171992,1.50404054,00:49:51,1.30158120,00:00:49,
083,69.0680,0.01114632,1.48669797,00:49:52,1.24493363,00:00:49,
084,68.7680,0.01058306,1.46951879,00:49:52,1.25125921,00:00:48,
085,68.7040,0.01003055,1.45377895,00:49:53,1.25351465,00:00:49,
086,68.9960,0.00948921,1.43212321,00:49:53,1.24622509,00:00:49,
087,69.7180,0.00895945,1.41313979,00:49:52,1.20289753,00:00:49,
088,70.2360,0.00844166,1.39387411,00:49:54,1.19020839,00:00:48,
089,69.9000,0.00793623,1.37651799,00:49:54,1.20533284,00:00:48,
090,70.8700,0.00744353,1.35377316,00:49:51,1.16224805,00:00:48,
091,70.9300,0.00696393,1.33486106,00:49:47,1.15293646,00:00:48,
092,71.5400,0.00649779,1.31450616,00:49:46,1.14185017,00:00:49,
093,71.8520,0.00604546,1.29394587,00:49:45,1.12091045,00:00:49,
094,72.1780,0.00560727,1.27448141,00:49:48,1.10212563,00:00:48,
095,72.3460,0.00518355,1.25197816,00:49:48,1.09709859,00:00:48,
