--------------------------------------------------
port_num : 9999
world_size : 2
data_dir : /mnt/ssd1/ImageNet
batch_size : 256
num_workers : 8
start_epoch : 0
epochs : 120
warmup_epochs : 5
min_lr : 1e-08
lr : 0.1
momentum : 0.9
weight_decay : 0.0001
resume : 
save : True
save_name : ResNet50_256_DDP
save_freq : 200
print_freq : 100
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,10.8200,0.01999600,5.97928834,00:26:37,4.80198447,00:00:35,
001,23.5420,0.03999600,4.30612045,00:26:33,3.85921307,00:00:34,
002,33.6160,0.05999600,3.46375986,00:26:31,3.04502165,00:00:34,
003,35.3120,0.07999600,3.05250640,00:26:29,2.96159751,00:00:33,
004,41.5880,0.09999600,2.84589191,00:26:31,2.61147291,00:00:34,
005,44.9500,0.09998135,2.70202916,00:26:32,2.42289751,00:00:34,
006,46.7880,0.09992541,2.58018724,00:26:33,2.31994943,00:00:34,
007,44.9520,0.09983220,2.49888270,00:26:33,2.43910291,00:00:35,
008,49.1000,0.09970181,2.44024138,00:26:32,2.20429342,00:00:34,
009,49.4180,0.09953433,2.39327337,00:26:32,2.17953601,00:00:33,
010,49.4820,0.09932989,2.35435232,00:26:32,2.18550279,00:00:34,
011,49.7460,0.09908864,2.32498701,00:26:33,2.17112432,00:00:34,
012,51.2680,0.09881075,2.30096237,00:26:32,2.09363458,00:00:33,
013,53.2040,0.09849644,2.27594067,00:26:31,1.99137966,00:00:34,
014,50.5680,0.09814594,2.25790120,00:26:32,2.14438912,00:00:33,
015,52.9400,0.09775951,2.24187825,00:26:34,2.02246835,00:00:33,
016,53.8740,0.09733744,2.22742479,00:26:33,1.94672335,00:00:33,
017,53.3720,0.09688005,2.21432664,00:26:32,1.98557388,00:00:33,
018,51.9720,0.09638767,2.20074271,00:26:32,2.05979941,00:00:35,
019,54.1620,0.09586067,2.18742581,00:26:33,1.95129157,00:00:35,
020,49.8040,0.09529946,2.18131379,00:26:33,2.19339000,00:00:33,
021,53.9640,0.09470444,2.16654341,00:26:32,1.96521173,00:00:34,
022,53.8180,0.09407606,2.16076585,00:26:33,1.95935595,00:00:33,
023,54.7680,0.09341478,2.14988031,00:26:33,1.91384766,00:00:35,
024,55.8340,0.09272111,2.14087169,00:26:32,1.87982090,00:00:34,
025,55.5200,0.09199556,2.13294782,00:26:32,1.88685071,00:00:34,
026,55.3660,0.09123867,2.12404223,00:26:32,1.88640123,00:00:35,
027,54.9560,0.09045101,2.11465318,00:26:33,1.91160642,00:00:34,
028,52.8920,0.08963316,2.10767442,00:26:33,2.03876246,00:00:35,
029,55.4400,0.08878574,2.09885745,00:26:33,1.88624963,00:00:35,
030,54.6480,0.08790937,2.09222093,00:26:32,1.94438923,00:00:34,
031,56.2100,0.08700471,2.08438507,00:26:34,1.86061082,00:00:33,
032,55.2580,0.08607244,2.07401556,00:26:34,1.90444308,00:00:35,
033,56.3440,0.08511325,2.06643414,00:26:34,1.83996620,00:00:35,
034,56.2320,0.08412786,2.06002813,00:26:33,1.84465691,00:00:34,
035,56.2880,0.08311700,2.05001742,00:26:33,1.85215212,00:00:34,
036,56.0680,0.08208142,2.04038307,00:26:34,1.86039933,00:00:35,
037,55.5300,0.08102191,2.03035185,00:26:36,1.89636747,00:00:34,
038,54.4920,0.07993925,2.02603433,00:26:33,1.94766238,00:00:34,
039,56.0540,0.07883424,2.01600016,00:26:31,1.83638047,00:00:34,
040,53.4780,0.07770772,2.00937788,00:26:33,1.99553255,00:00:33,
041,56.6400,0.07656052,2.00106887,00:26:33,1.82114363,00:00:34,
042,56.4420,0.07539350,1.99401760,00:26:35,1.83548727,00:00:34,
043,58.2980,0.07420753,1.98154989,00:26:32,1.74421028,00:00:34,
044,57.4800,0.07300350,1.97324651,00:26:32,1.79039623,00:00:35,
045,56.7540,0.07178230,1.96457696,00:26:32,1.82993383,00:00:35,
046,58.1740,0.07054484,1.95287081,00:26:36,1.75411248,00:00:34,
047,57.2120,0.06929206,1.94828449,00:26:33,1.81304638,00:00:34,
048,60.0260,0.06802487,1.93608584,00:26:32,1.67267812,00:00:34,
049,59.3540,0.06674424,1.92695409,00:26:32,1.69278097,00:00:33,
050,59.8760,0.06545111,1.91924917,00:26:33,1.66567895,00:00:34,
051,59.8620,0.06414645,1.90543519,00:26:33,1.67264021,00:00:35,
052,59.8580,0.06283124,1.89670046,00:26:33,1.67363613,00:00:35,
053,59.9280,0.06150645,1.88796364,00:26:32,1.67028572,00:00:33,
054,61.0260,0.06017307,1.87388516,00:26:32,1.61745250,00:00:35,
055,59.7280,0.05883210,1.86425096,00:26:35,1.67495093,00:00:33,
056,61.3880,0.05748454,1.85521110,00:26:35,1.59996089,00:00:35,
057,59.8060,0.05613140,1.84220803,00:26:32,1.67769283,00:00:34,
058,61.6320,0.05477368,1.83224257,00:26:33,1.59138343,00:00:34,
059,59.7980,0.05341240,1.81908674,00:26:33,1.68731889,00:00:34,
060,61.7600,0.05204857,1.81038338,00:26:41,1.58263926,00:00:34,
061,61.7460,0.05068321,1.79777820,00:26:37,1.58957365,00:00:35,
062,62.1960,0.04931734,1.78474439,00:26:32,1.57461767,00:00:34,
063,62.6700,0.04795199,1.77345452,00:26:36,1.54324752,00:00:34,
064,63.0960,0.04658816,1.75892588,00:26:33,1.52307694,00:00:34,
065,63.0060,0.04522687,1.74641744,00:26:33,1.53304200,00:00:35,
066,63.5260,0.04386915,1.73504629,00:26:33,1.51296633,00:00:34,
067,63.2800,0.04251601,1.72319387,00:26:33,1.51696008,00:00:34,
068,64.2520,0.04116844,1.70758413,00:26:32,1.47614411,00:00:35,
069,64.7260,0.03982747,1.69606537,00:26:32,1.45528919,00:00:34,
070,64.0160,0.03849409,1.68210462,00:26:33,1.47512308,00:00:34,
