--------------------------------------------------
port_num : 8889
world_size : 4
data_dir : /mnt/ssd1/ImageNet
batch_size : 512
num_workers : 8
num_classes : 1000
start_epoch : 0
epochs : 120
warmup_epochs : 5
min_lr : 1e-08
lr : 0.2
momentum : 0.9
weight_decay : 0.0001
loss_type : BCE
resume : 
save : True
save_name : ResNet50_512_120_BCE
save_freq : 1
print_freq : 500
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,8.9020,0.03998401,10.39127434,00:25:49,6.16514342,00:00:46,
001,22.3940,0.07998401,5.30118868,00:25:42,4.93137933,00:00:44,
002,31.5960,0.11998401,4.44877379,00:25:32,4.24463945,00:00:44,
003,36.4780,0.15998401,4.02750189,00:25:36,3.86814665,00:00:45,
004,39.8540,0.19998401,3.81779896,00:25:35,3.68135110,00:00:45,
005,43.0620,0.19996272,3.65269037,00:25:34,3.48727194,00:00:44,
006,45.2640,0.19985084,3.50646264,00:25:37,3.33542411,00:00:45,
007,46.4220,0.19966445,3.40666903,00:25:36,3.28177799,00:00:44,
008,46.6780,0.19940369,3.33278176,00:25:37,3.25986864,00:00:44,
009,45.9880,0.19906874,3.27149740,00:25:35,3.28961570,00:00:44,
010,50.4860,0.19865987,3.22396629,00:25:38,3.01712881,00:00:44,
011,48.8640,0.19817738,3.18508264,00:25:39,3.13137722,00:00:45,
012,51.4620,0.19762162,3.15510735,00:25:39,2.95891753,00:00:45,
013,49.3340,0.19699301,3.12622027,00:25:34,3.08682802,00:00:45,
014,46.5760,0.19629202,3.10303534,00:25:38,3.29041513,00:00:45,
015,51.1280,0.19551918,3.07927149,00:25:37,2.98732140,00:00:44,
016,50.7100,0.19467506,3.05776398,00:25:35,3.00772485,00:00:45,
017,52.0540,0.19376028,3.04436194,00:25:39,2.93591008,00:00:44,
018,49.2720,0.19277554,3.02579051,00:25:37,3.12912679,00:00:44,
019,51.3080,0.19172157,3.00932299,00:25:41,2.95545512,00:00:45,
020,53.6200,0.19059915,2.99623845,00:25:40,2.83704341,00:00:43,
021,53.1460,0.18940912,2.98639228,00:25:37,2.85769224,00:00:44,
022,46.5280,0.18815237,2.97273371,00:25:43,3.31499446,00:00:45,
023,54.6760,0.18682984,2.96088403,00:25:38,2.77332970,00:00:45,
024,52.0440,0.18544251,2.94733203,00:25:39,2.92121553,00:00:44,
025,51.4080,0.18399142,2.93716340,00:25:36,2.97458693,00:00:43,
026,53.4360,0.18247766,2.92735605,00:25:38,2.83218121,00:00:44,
027,54.4600,0.18090234,2.91356619,00:25:41,2.78449027,00:00:46,
028,52.4900,0.17926666,2.90385752,00:25:38,2.89391943,00:00:45,
029,56.1140,0.17757182,2.89344237,00:25:37,2.67268630,00:00:45,
030,55.0160,0.17581909,2.88158051,00:25:39,2.73684381,00:00:43,
031,55.5060,0.17400979,2.87251325,00:25:36,2.71919657,00:00:46,
032,50.4020,0.17214526,2.86146028,00:25:46,3.05328155,00:00:42,
033,55.1380,0.17022689,2.84986934,00:25:44,2.72316167,00:00:50,
034,55.0320,0.16825611,2.84208530,00:25:41,2.73585811,00:00:45,
035,55.2300,0.16623440,2.82998258,00:25:44,2.73717828,00:00:44,
