--------------------------------------------------
port_num : 8888
world_size : 4
data_dir : /mnt/ssd1/ImageNet
batch_size : 512
num_workers : 8
num_classes : 1000
start_epoch : 0
epochs : 120
warmup_epochs : 5
min_lr : 1e-08
lr : 0.2
momentum : 0.9
weight_decay : 0.0001
loss_type : CE
resume : 
save : True
save_name : ResNet50_512_120_CE
save_freq : 1
print_freq : 500
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,9.0540,0.03998401,5.97497193,00:25:07,5.04298622,00:00:43,
001,21.8600,0.07998401,4.28261595,00:24:58,3.81712029,00:00:43,
002,30.3140,0.11998401,3.47273929,00:24:50,3.25657968,00:00:45,
003,36.7180,0.15998401,3.03074057,00:24:53,2.86985413,00:00:45,
004,39.8260,0.19998401,2.82676918,00:24:53,2.68825396,00:00:45,
005,41.1380,0.19996272,2.68234154,00:24:47,2.63904418,00:00:44,
006,45.8460,0.19985084,2.55912349,00:24:50,2.37344429,00:00:45,
007,47.2960,0.19966445,2.47693570,00:24:49,2.29479116,00:00:45,
008,47.2940,0.19940369,2.41422656,00:24:53,2.29134909,00:00:44,
009,48.4620,0.19906874,2.36693979,00:24:50,2.21905303,00:00:44,
010,47.0540,0.19865987,2.33032981,00:24:50,2.29951408,00:00:44,
011,45.6980,0.19817738,2.30165647,00:24:51,2.36641485,00:00:44,
012,49.7520,0.19762162,2.27273221,00:24:55,2.16684899,00:00:45,
013,50.1520,0.19699301,2.25132603,00:24:53,2.13585204,00:00:44,
014,52.0120,0.19629202,2.23314121,00:24:53,2.03382503,00:00:44,
015,51.4640,0.19551918,2.21793627,00:24:54,2.07989032,00:00:44,
016,50.3000,0.19467506,2.20234625,00:24:53,2.13694373,00:00:46,
017,52.3400,0.19376028,2.18777521,00:24:50,2.02911869,00:00:44,
018,48.7080,0.19277554,2.17554056,00:24:55,2.21805532,00:00:44,
019,49.8880,0.19172157,2.16566865,00:24:50,2.16364862,00:00:45,
020,49.4880,0.19059915,2.15399533,00:24:56,2.16299379,00:00:44,
021,51.5000,0.18940912,2.14459786,00:24:53,2.07817409,00:00:45,
022,48.3100,0.18815237,2.13521079,00:24:51,2.25312419,00:00:45,
023,53.3320,0.18682984,2.12605759,00:24:58,1.97634672,00:00:45,
024,51.2620,0.18544251,2.11538101,00:24:53,2.08704053,00:00:44,
025,51.3440,0.18399142,2.11172338,00:24:49,2.08511859,00:00:45,
026,53.3140,0.18247766,2.10398590,00:24:50,1.98088577,00:00:45,
027,54.2520,0.18090234,2.09211264,00:24:54,1.94055488,00:00:46,
028,49.0600,0.17926666,2.08330843,00:24:53,2.24856355,00:00:44,
029,55.4980,0.17757182,2.07658427,00:24:53,1.87120875,00:00:45,
030,54.7140,0.17581909,2.06727588,00:24:52,1.90250684,00:00:44,
031,54.3720,0.17400979,2.06251798,00:24:52,1.93077322,00:00:43,
032,51.0440,0.17214526,2.05464799,00:24:51,2.11911318,00:00:44,
033,53.1000,0.17022689,2.04430459,00:24:57,2.00550454,00:00:43,
034,49.2580,0.16825611,2.04044263,00:24:56,2.21270366,00:00:48,
035,54.2160,0.16623440,2.03109895,00:25:04,1.93835024,00:00:44,
036,55.0080,0.16416327,2.02209274,00:25:00,1.90562457,00:00:44,
037,54.2980,0.16204425,2.01130201,00:24:57,1.95329032,00:00:43,
038,54.8620,0.15987893,2.00620739,00:24:57,1.92015946,00:00:45,
039,56.6100,0.15766893,1.99835326,00:24:56,1.82244250,00:00:45,
040,55.6920,0.15541589,1.99037576,00:24:56,1.86811368,00:00:43,
041,52.9720,0.15312150,1.98418834,00:24:56,1.99480098,00:00:44,
042,56.2720,0.15078747,1.97360860,00:24:59,1.84926029,00:00:44,
043,56.4660,0.14841554,1.96424268,00:24:59,1.83413381,00:00:44,
044,55.9400,0.14600748,1.95493948,00:24:56,1.85642801,00:00:44,
045,55.2880,0.14356508,1.94731180,00:24:54,1.87161524,00:00:45,
046,57.1280,0.14109018,1.93666044,00:24:53,1.78616909,00:00:45,
047,55.9880,0.13858461,1.92850046,00:24:54,1.86160567,00:00:45,
048,53.3920,0.13605025,1.91810307,00:24:49,2.00700340,00:00:50,
049,56.4960,0.13348899,1.90944397,00:24:55,1.82633725,00:00:45,
050,57.1780,0.13090274,1.89769472,00:24:54,1.79215595,00:00:45,
051,57.6900,0.12829343,1.88730633,00:24:57,1.78199099,00:00:45,
052,57.9500,0.12566300,1.87880640,00:24:58,1.75605833,00:00:44,
053,57.9460,0.12301342,1.86750121,00:24:57,1.76506405,00:00:45,
054,58.9400,0.12034667,1.85868972,00:24:53,1.70791500,00:00:44,
055,56.4840,0.11766474,1.84939056,00:24:56,1.83981322,00:00:44,
056,59.3560,0.11496962,1.83734461,00:24:54,1.69435339,00:00:45,
057,56.0000,0.11226334,1.82793742,00:24:55,1.87648871,00:00:43,
058,59.3580,0.10954790,1.81581593,00:24:53,1.68485204,00:00:44,
059,60.8640,0.10682534,1.80522682,00:24:56,1.61029084,00:00:45,
060,60.0080,0.10409768,1.79136072,00:24:57,1.65700796,00:00:44,
061,59.6020,0.10136696,1.77874106,00:25:01,1.67948030,00:00:45,
062,59.6420,0.09863523,1.76674836,00:24:50,1.69708699,00:00:44,
063,61.2800,0.09590451,1.75495875,00:24:56,1.62059380,00:00:46,
064,61.2700,0.09317685,1.74106066,00:24:56,1.60982951,00:00:45,
065,61.3440,0.09045429,1.72875940,00:24:54,1.60181828,00:00:46,
066,60.1880,0.08773884,1.71911858,00:25:00,1.66064320,00:00:46,
067,59.9240,0.08503254,1.70343265,00:25:06,1.67409329,00:00:46,
068,59.8320,0.08233742,1.69101042,00:25:15,1.68278560,00:00:43,
069,62.0280,0.07965547,1.67386759,00:25:06,1.57799819,00:00:41,
070,60.6860,0.07698871,1.66090864,00:25:05,1.62565887,00:00:45,
071,62.4800,0.07433912,1.64581409,00:25:04,1.54904712,00:00:44,
072,63.0900,0.07170868,1.63143877,00:24:50,1.52127428,00:00:44,
073,64.2320,0.06909935,1.61782256,00:24:48,1.46663133,00:00:45,
074,62.5960,0.06651307,1.60169282,00:25:02,1.53396631,00:00:45,
075,65.3440,0.06395179,1.58536658,00:24:56,1.43350103,00:00:47,
076,64.3020,0.06141741,1.57309885,00:24:50,1.45773467,00:00:46,
077,64.5360,0.05891182,1.55479701,00:24:50,1.45520111,00:00:44,
078,64.1520,0.05643689,1.53978302,00:25:00,1.47459914,00:00:45,
079,65.1400,0.05399447,1.52428873,00:24:49,1.41688574,00:00:47,
080,66.6140,0.05158638,1.50648816,00:24:45,1.35503771,00:00:45,
081,64.3340,0.04921442,1.48967364,00:24:50,1.46159027,00:00:45,
082,66.2500,0.04688036,1.47317804,00:24:50,1.37178846,00:00:46,
083,66.2100,0.04458594,1.45395221,00:24:54,1.38081611,00:00:46,
084,67.5140,0.04233287,1.43567775,00:24:49,1.31075127,00:00:45,
085,67.2680,0.04012283,1.41871168,00:24:49,1.33637763,00:00:46,
086,67.9600,0.03795748,1.39788625,00:24:50,1.29650749,00:00:47,
087,68.2620,0.03583842,1.38118913,00:24:51,1.28082625,00:00:46,
088,68.7500,0.03376724,1.35978508,00:24:58,1.26038877,00:00:46,
089,68.1600,0.03174549,1.33940318,00:24:49,1.28615708,00:00:47,
090,69.3720,0.02977468,1.31590750,00:24:49,1.23436908,00:00:47,
091,69.5500,0.02785626,1.29904070,00:24:49,1.23242338,00:00:46,
092,68.8920,0.02599169,1.27809182,00:24:49,1.26122818,00:00:48,
093,69.8340,0.02418234,1.25469860,00:24:50,1.21208336,00:00:46,
094,70.6500,0.02242957,1.23135763,00:24:48,1.18427134,00:00:46,
095,70.6660,0.02073468,1.21291968,00:24:46,1.17752183,00:00:46,
096,71.2680,0.01909895,1.18665144,00:24:50,1.14445888,00:00:47,
097,71.5040,0.01752359,1.16240026,00:24:51,1.14503068,00:00:48,
098,72.3320,0.01600977,1.13783951,00:25:00,1.10494510,00:00:43,
099,72.1260,0.01455864,1.11618225,00:24:48,1.11491678,00:00:41,
100,72.8060,0.01317126,1.09301114,00:24:55,1.08536666,00:00:46,
101,72.7960,0.01184867,1.06454570,00:24:49,1.08670747,00:00:46,
102,73.0940,0.01059187,1.04153203,00:24:56,1.07533031,00:00:44,
103,73.9860,0.00940179,1.01382681,00:24:56,1.04490022,00:00:46,
104,74.0300,0.00827931,0.98919808,00:24:52,1.03902276,00:00:46,
105,73.6960,0.00722529,0.96494074,00:24:52,1.05424835,00:00:45,
106,74.9340,0.00624049,0.93961356,00:24:55,1.00751558,00:00:44,
107,75.1020,0.00532566,0.91477473,00:24:59,0.99638114,00:00:44,
108,75.1640,0.00448148,0.88913243,00:24:55,0.99237850,00:00:46,
109,75.5540,0.00370858,0.86607233,00:24:51,0.98092198,00:00:46,
110,75.5920,0.00300753,0.84431299,00:24:52,0.97804524,00:00:46,
111,75.9520,0.00237887,0.82633673,00:24:50,0.96485379,00:00:45,
112,76.1260,0.00182305,0.80635595,00:24:51,0.95649335,00:00:46,
113,76.2040,0.00134049,0.78796437,00:24:48,0.95114988,00:00:44,
