--------------------------------------------------
port_num : 8888
world_size : 4
data_dir : /mnt/ssd1/ImageNet
batch_size : 512
num_workers : 8
num_classes : 1000
start_epoch : 0
epochs : 120
warmup_epochs : 5
min_lr : 1e-08
lr : 0.2
momentum : 0.9
weight_decay : 0.0001
resume : 
save : True
save_name : ResNet50_512_DDP_sigmoid
save_freq : 200
print_freq : 100
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,9.6580,0.03998401,10.40592360,00:23:04,6.11119680,00:00:47,
001,18.6360,0.07998401,5.32481815,00:23:00,5.31822795,00:00:45,
002,31.3560,0.11998401,4.47677730,00:22:59,4.20627267,00:00:46,
003,37.1320,0.15998401,4.05771994,00:22:59,3.84743912,00:00:45,
004,39.1280,0.19998401,3.84740392,00:22:58,3.73832725,00:00:46,
005,43.4080,0.19996272,3.69085267,00:22:59,3.47275912,00:00:45,
006,37.8500,0.19985084,3.54953806,00:23:00,3.92239927,00:00:45,
007,46.3060,0.19966445,3.44947841,00:22:58,3.30741670,00:00:44,
008,47.6820,0.19940369,3.37160789,00:22:59,3.18883036,00:00:47,
009,48.3140,0.19906874,3.31475992,00:23:00,3.19131820,00:00:44,
010,48.2060,0.19865987,3.26744371,00:22:58,3.16730405,00:00:45,
011,49.4600,0.19817738,3.22698461,00:22:59,3.10419488,00:00:53,
012,48.6440,0.19762162,3.19542286,00:22:58,3.15999555,00:00:42,
013,48.5960,0.19699301,3.16486494,00:23:02,3.15284273,00:00:43,
014,49.5280,0.19629202,3.14232160,00:23:05,3.07899558,00:00:46,
015,49.9700,0.19551918,3.11788787,00:23:00,3.04766315,00:00:45,
016,51.3600,0.19467506,3.10314257,00:22:59,2.97328186,00:00:45,
017,49.9180,0.19376028,3.08222399,00:22:59,3.07722888,00:00:45,
018,52.3460,0.19277554,3.06770521,00:22:59,2.91776220,00:00:46,
019,51.3800,0.19172157,3.05128674,00:22:57,2.98575017,00:00:45,
020,51.6260,0.19059915,3.03679790,00:22:57,2.96427879,00:00:46,
021,51.3500,0.18940912,3.02465897,00:22:57,2.97815356,00:00:46,
022,53.1080,0.18815237,3.01319495,00:22:57,2.85126552,00:00:45,
